Country,Year,income,mm_ratio,births_attended,lower_bound,upper_bound
Albania, 1990,2840,71,NA,58,88
Albania, 2000,4370,43,NA,33,56
Algeria, 1990,6330,216,NA,141,327
Algeria, 2000,7460,170,NA,118,241
Angola, 1990,2190,1160,NA,627,2020
Angola, 2000,2190,924,NA,472,1730
Armenia, 1990,2330,58,NA,51,65
Armenia, 2000,2380,40,NA,35,46
Armenia, 2010,6620,NA,99.5,NA,NA
Australia, 1990,16820,8,NA,7,9
Australia, 2000,25580,9,NA,8,10
Australia, 2013,42540,NA,99.3,NA,NA
Austria, 1990,19180,8,NA,7,10
Austria, 2000,28450,5,NA,4,6
Azerbaijan, 2000,3350,48,NA,42,55
Azerbaijan, 2011,14590,NA,97.2,NA,NA
Bahamas, 1990,17480,46,NA,34,61
Bahamas, 2000,20020,61,NA,50,74
Bahrain, 1990,19200,26,NA,20,33
Bahrain, 2000,34880,21,NA,18,26
Bangladesh, 1990,710,569,NA,446,715
Bangladesh, 2000,1140,399,NA,322,496
Barbados, 1990,8250,58,NA,47,72
Barbados, 2000,11320,48,NA,38,58
Barbados, 2012,15080,NA,98.9,NA,NA
Belarus, 1990,5230,33,NA,28,38
Belarus, 2000,5770,26,NA,22,31
Belarus, 2012,16800,NA,100.0,NA,NA
Belgium, 1990,18650,9,NA,7,10
Belgium, 2000,28310,9,NA,8,11
Belize, 1990,3280,54,NA,45,65
Belize, 2000,6160,53,NA,45,62
Belize, 2011,7940,NA,95.1,NA,NA
Benin, 1990,860,576,NA,453,726
Benin, 2000,1200,572,NA,448,732
Bhutan, 1990,1420,945,NA,697,1260
Bhutan, 2000,2860,423,NA,328,538
Bhutan, 2012,6960,NA,74.6,NA,NA
Bolivia (Plurinational State of), 1990,2300,425,NA,340,527
Bolivia (Plurinational State of), 2000,3340,334,NA,272,416
Bolivia (Plurinational State of), 2012,5400,NA,85.1,NA,NA
Bosnia and Herzegovina, 2000,4840,17,NA,12,24
Botswana, 1990,5070,243,NA,149,352
Botswana, 2000,7620,311,NA,261,361
Botswana, 2013,15500,NA,99.9,NA,NA
Brazil, 1990,6300,104,NA,91,119
Brazil, 2000,8500,66,NA,64,67
Brazil, 2013,14750,NA,99.1,NA,NA
Brunei Darussalam, 1990,49930,35,NA,25,48
Brunei Darussalam, 2000,59100,31,NA,25,39
Bulgaria, 1990,4970,25,NA,21,29
Bulgaria, 2000,6080,21,NA,18,25
Burkina Faso, 1990,540,727,NA,549,978
Burkina Faso, 2000,840,547,NA,432,686
Burkina Faso, 2010,1390,NA,65.9,NA,NA
Burundi, 1990,670,1220,NA,848,1760
Burundi, 2000,580,954,NA,682,1310
Burundi, 2010,710,NA,60.3,NA,NA
Cabo Verde, 1990,1050,256,NA,141,460
Cabo Verde, 2000,2910,83,NA,45,162
Cabo Verde, 2013,6220,NA,92.3,NA,NA
Cambodia, 2000,1050,484,NA,396,596
Cameroon, 1990,1640,728,NA,566,926
Cameroon, 2000,1710,750,NA,615,918
Canada, 1990,19150,7,NA,7,8
Canada, 2000,28240,9,NA,9,10
Canada, 2011,40570,NA,98.4,NA,NA
Central African Republic, 1990,500,1290,NA,979,1720
Central African Republic, 2000,550,1200,NA,836,1750
Central African Republic, 2010,880,NA,40.0,NA,NA
Chad, 1990,710,1450,NA,1100,1900
Chad, 2000,730,1370,NA,1070,1790
Chile, 1990,4140,57,NA,51,64
Chile, 2000,9320,31,NA,27,34
Chile, 2013,21030,NA,99.8,NA,NA
China, 1990,1010,97,NA,80,117
China, 2000,2830,58,NA,52,65
Colombia, 1990,4760,118,NA,94,142
Colombia, 2000,6520,97,NA,90,104
Colombia, 2013,11890,NA,98.7,NA,NA
Comoros, 1990,1170,635,NA,414,961
Comoros, 2000,1250,499,NA,324,765
Comoros, 2012,1520,NA,82.2,NA,NA
Congo, 1990,2830,603,NA,421,857
Congo, 2000,2590,653,NA,492,864
Costa Rica, 1990,4590,43,NA,38,48
Costa Rica, 2000,6990,38,NA,35,43
Cote d'Ivoire, 1990,1710,745,NA,577,964
Cote d'Ivoire, 2000,2160,671,NA,522,856
Croatia, 2000,10730,11,NA,9,13
Cuba, 1990,8580,58,NA,51,65
Cuba, 2000,8670,43,NA,39,47
Cyprus, 1990,12500,16,NA,10,26
Cyprus, 2000,18190,15,NA,9,25
Cyprus, 2013,28830,NA,99.9,NA,NA
Czech Republic, 2000,15320,7,NA,6,8
Czech Republic, 2013,25530,NA,99.8,NA,NA
Democratic Republic of the Congo, 1990,750,879,NA,610,1250
Democratic Republic of the Congo, 2000,410,874,NA,639,1160
Denmark, 1990,17980,11,NA,9,12
Denmark, 2000,28240,9,NA,8,10
Denmark, 2012,43200,NA,98.2,NA,NA
Djibouti, 2000,1700,401,NA,218,759
Dominican Republic, 1990,2950,198,NA,133,292
Dominican Republic, 2000,5460,79,NA,74,83
Ecuador, 1990,4380,185,NA,164,211
Ecuador, 2000,5310,103,NA,91,116
Egypt, 1990,3800,106,NA,90,128
Egypt, 2000,6260,63,NA,56,71
El Salvador, 1990,2820,157,NA,134,185
El Salvador, 2000,4880,84,NA,75,95
Equatorial Guinea, 1990,730,1310,NA,819,2080
Equatorial Guinea, 2000,6030,702,NA,457,1060
Equatorial Guinea, 2011,27630,NA,68.3,NA,NA
Eritrea, 2000,1150,733,NA,527,995
Eritrea, 2010,1050,NA,34.1,NA,NA
Estonia, 2000,9380,26,NA,21,31
Ethiopia, 1990,410,1250,NA,906,1640
Ethiopia, 2000,480,897,NA,718,1100
Fiji, 1990,3790,63,NA,47,98
Fiji, 2000,5560,42,NA,33,53
Fiji, 2013,7610,NA,98.8,NA,NA
Finland, 1990,17090,6,NA,5,7
Finland, 2000,25500,5,NA,4,6
France, 1990,17130,15,NA,13,16
France, 2000,25560,12,NA,11,13
France, 2013,37580,NA,98.3,NA,NA
Gabon, 1990,11120,422,NA,290,599
Gabon, 2000,11710,405,NA,298,550
Gabon, 2012,16490,NA,89.3,NA,NA
Gambia, 1990,900,1030,NA,672,1490
Gambia, 2000,1190,887,NA,609,1250
Gambia, 2013,1620,NA,57.2,NA,NA
Georgia, 1990,5210,34,NA,29,40
Georgia, 2000,2700,37,NA,30,44
Germany, 1990,18750,11,NA,10,13
Germany, 2000,25510,8,NA,7,9
Ghana, 1990,1200,634,NA,436,911
Ghana, 2000,1720,467,NA,342,645
Greece, 1990,12950,5,NA,4,6
Greece, 2000,18340,4,NA,3,4
Grenada, 1990,4580,41,NA,30,53
Grenada, 2000,7210,29,NA,21,38
Guatemala, 1990,3370,205,NA,194,217
Guatemala, 2000,4950,178,NA,170,186
Guinea, 1990,690,1040,NA,782,1360
Guinea, 2000,880,976,NA,787,1200
Guinea, 2012,1140,NA,45.3,NA,NA
Guinea-Bissau, 1990,930,907,NA,512,1540
Guinea-Bissau, 2000,560,800,NA,417,1450
Guyana, 1990,1450,171,NA,141,197
Guyana, 2000,3730,210,NA,185,241
Haiti, 2012,1640,NA,37.3,NA,NA
Honduras, 1990,1900,272,NA,256,290
Honduras, 2000,2680,133,NA,115,154
Hungary, 1990,8540,24,NA,21,28
Hungary, 2000,11310,15,NA,12,18
Hungary, 2010,20140,NA,99.1,NA,NA
Iceland, 1990,20580,7,NA,5,9
Iceland, 2000,28070,5,NA,3,7
India, 1990,1160,556,NA,445,685
India, 2000,2040,374,NA,324,437
India, 2013,5350,NA,74.4,NA,NA
Indonesia, 1990,2660,446,NA,347,564
Indonesia, 2000,4010,265,NA,213,324
Indonesia, 2013,9260,NA,87.4,NA,NA
Iran (Islamic Republic of), 1990,5620,123,NA,98,171
Iran (Islamic Republic of), 2000,8490,51,NA,43,60
Iraq, 2011,13620,NA,90.9,NA,NA
Ireland, 1990,12050,11,NA,9,13
Ireland, 2000,24930,9,NA,8,11
Israel, 1990,13100,11,NA,10,13
Israel, 2000,21480,8,NA,7,9
Italy, 1990,17360,8,NA,7,9
Italy, 2000,25590,5,NA,4,6
Italy, 2013,34100,NA,99.9,NA,NA
Jamaica, 1990,4330,79,NA,64,97
Jamaica, 2000,6210,89,NA,79,100
Jamaica, 2011,8170,NA,98.6,NA,NA
Japan, 1990,19370,14,NA,12,15
Japan, 2000,26260,10,NA,9,11
Jordan, 1990,4340,110,NA,88,140
Jordan, 2000,6180,77,NA,66,92
Jordan, 2012,11390,NA,99.6,NA,NA
Kazakhstan, 2000,7170,65,NA,57,75
Kenya, 1990,1250,687,NA,518,899
Kenya, 2000,1420,759,NA,615,947
Kiribati, 1990,1600,234,NA,169,330
Kiribati, 2000,2320,166,NA,113,241
Kiribati, 2009,2430,NA,79.8,NA,NA
Kuwait, 2000,75580,7,NA,6,8
Kyrgyzstan, 1990,2250,80,NA,71,90
Kyrgyzstan, 2000,1550,74,NA,64,84
Lao People's Democratic Republic, 1990,1050,905,NA,638,1230
Lao People's Democratic Republic, 2000,1770,546,NA,417,720
Latvia, 1990,7810,48,NA,41,57
Latvia, 2000,8050,30,NA,25,35
Lebanon, 1990,6110,74,NA,50,109
Lebanon, 2000,9970,42,NA,30,59
Lebanon, 2004,10250,NA,98.2,NA,NA
Lesotho, 1990,1410,629,NA,422,908
Lesotho, 2000,1710,649,NA,492,861
Liberia, 2000,360,1270,NA,972,1620
Liberia, 2013,790,NA,61.1,NA,NA
Lithuania, 1990,9300,29,NA,24,34
